Date,Category,Description,Amount
2025-01-02,Food,Breakfast,80
2025-01-03,Travel,Bus Pass,150
2025-01-04,Bills,Electricity Bill,1850
2025-01-05,Food,Lunch,220
2025-01-06,Shopping,T-Shirt,799
2025-01-07,Entertainment,Movie Ticket,250
2025-01-08,Food,Dinner,340
2025-01-09,Travel,Auto Fare,120
2025-01-10,Education,Python Course,1200
2025-01-11,Healthcare,Medicine,450
2025-01-12,Food,Groceries,1850
2025-01-13,Travel,Fuel,1200
2025-01-14,Bills,Internet Bill,899
2025-01-15,Entertainment,OTT Subscription,499
2025-01-16,Food,Coffee,120
2025-01-17,Shopping,Shoes,2499
2025-01-18,Travel,Train Ticket,750
2025-01-19,Food,Lunch,280
2025-01-20,Healthcare,Doctor Consultation,800
2025-01-21,Bills,Water Bill,550
2025-01-22,Food,Dinner,420
2025-01-23,Education,Exam Fee,1500
2025-01-24,Travel,Cab Ride,350
2025-01-25,Entertainment,Game Purchase,999
2025-01-26,Shopping,Backpack,1299
2025-01-27,Food,Groceries,2100
2025-01-28,Bills,Mobile Recharge,299
2025-01-29,Travel,Fuel,1350
2025-01-30,Healthcare,Medicine,350
2025-02-01,Food,Breakfast,100
2025-02-02,Shopping,Keyboard,1499
2025-02-03,Education,Online Course,1800
2025-02-04,Travel,Bus Pass,150
2025-02-05,Food,Lunch,260
2025-02-06,Bills,Electricity Bill,1920
2025-02-07,Entertainment,Movie Ticket,300
2025-02-08,Food,Dinner,390
2025-02-09,Healthcare,Dental Checkup,1200
2025-02-10,Travel,Train Ticket,820
2025-02-11,Shopping,Headphones,1799
2025-02-12,Food,Groceries,2400
2025-02-13,Bills,Internet Bill,899
2025-02-14,Entertainment,Valentine Dinner,2200
2025-02-15,Travel,Cab Ride,420
2025-02-16,Education,Certification Exam,2500
2025-02-17,Food,Coffee,140
2025-02-18,Healthcare,Medicine,500
2025-02-19,Shopping,USB Drive,650
2025-02-20,Bills,Water Bill,600
2025-02-21,Food,Dinner,450
